Zip Code Name,Territory: ID,Territory: Territory Name,Territory Role,
97023,a003600000IBbnF,RM - AK/WA/OR,RM,
97024,a003600000IBbnF,RM - AK/WA/OR,RM,
97026,a003600000IBbnF,RM - AK/WA/OR,RM,
97027,a003600000IBbnF,RM - AK/WA/OR,RM,
97028,a003600000IBbnF,RM - AK/WA/OR,RM,
97029,a003600000IBbnF,RM - AK/WA/OR,RM,
97030,a003600000IBbnF,RM - AK/WA/OR,RM,
97031,a003600000IBbnF,RM - AK/WA/OR,RM,
97032,a003600000IBbnF,RM - AK/WA/OR,RM,
97033,a003600000IBbnF,RM - AK/WA/OR,RM,
97034,a003600000IBbnF,RM - AK/WA/OR,RM,
